央视,#genre#
CCTV-世界地理,http://173.208.212.130:8181/720p/sjdl.m3u8
CCTV-兵器科技,http://173.208.212.130:8181/720p/gfjs.m3u8
CCTV-卫生健康,http://173.208.212.130:8181/720p/wsjk.m3u8
CCTV-央视台球,http://173.208.212.130:8181/720p/ystq.m3u8
CCTV-央视文化精品,http://173.208.212.130:8181/720p/ysjp.m3u8
CCTV-女性时尚,http://173.208.212.130:8181/720p/nxss.m3u8
CCTV-怀旧剧场,http://173.208.212.130:8181/720p/hjjc.m3u8
CCTV-电视指南,http://38.75.136.137:98/gslb/dsdqpub/dszn.m3u8?auth=testpub
CCTV-第一剧场,http://173.208.212.130:8181/720p/dyjc.m3u8
CCTV-风云剧场,http://173.208.212.130:8181/720p/fyjc.m3u8
CCTV-风云足球,http://173.208.212.130:8181/720p/fyzq.m3u8
CCTV-风云音乐,http://173.208.212.130:8181/720p/fyyy.m3u8
CCTV-高尔夫网球,http://173.208.212.130:8181/720p/gefwq.m3u8
CCTV1,http://173.208.212.130:8181/1080p/cctv1.m3u8
CCTV10,http://173.208.212.130:8181/1080p/cctv10.m3u8
CCTV11,http://173.208.212.130:8181/1080p/cctv11.m3u8
CCTV12,http://173.208.212.130:8181/1080p/cctv12.m3u8
CCTV13,http://173.208.212.130:8181/1080p/cctv13.m3u8
CCTV14,http://173.208.212.130:8181/1080p/cctv14.m3u8
CCTV15,http://173.208.212.130:8181/1080p/cctv15.m3u8
CCTV16,http://173.208.212.130:8181/1080p/cctv16.m3u8
CCTV17,http://173.208.212.130:8181/1080p/cctv17.m3u8
CCTV2,http://173.208.212.130:8181/1080p/cctv2.m3u8
CCTV3,http://173.208.212.130:8181/1080p/cctv3.m3u8
CCTV4,http://173.208.212.130:8181/1080p/cctv4.m3u8
CCTV4K,http://173.208.212.130:8181/720p/cctv4k.m3u8
CCTV5,http://173.208.212.130:8181/1080p/cctv5.m3u8
CCTV5+,http://173.208.212.130:8181/1080p/cctv5p.m3u8
CCTV6,http://173.208.212.130:8181/1080p/cctv6.m3u8
CCTV7,http://173.208.212.130:8181/1080p/cctv7.m3u8
CCTV8,http://173.208.212.130:8181/1080p/cctv8.m3u8
CCTV8K,http://173.208.212.130:8181/720p/cctv8k.m3u8
CCTV9,http://173.208.212.130:8181/1080p/cctv9.m3u8

教育,#genre#
CETV-1,http://by4.nty.tv189.cn/live/tm-yszgjy1-4000k.m3u8
CETV-2,http://by4.nty.tv189.cn/live/tm-yszgjy2-4000k.m3u8
CETV-4,http://by4.nty.tv189.cn/live/tm-yszgjy4-4000k.m3u8
中国教育1,http://38.75.136.137:98/gslb/dsdqpub/cetv1hd.m3u8?auth=testpub
中国教育2,http://38.75.136.137:98/gslb/dsdqpub/cetv2.m3u8?auth=testpub
中国教育3,http://38.75.136.137:98/gslb/dsdqpub/cetv3.m3u8?auth=testpub
中国教育4,http://38.75.136.137:98/gslb/dsdqpub/cetv4.m3u8?auth=testpub

卫视,#genre#
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
东南卫视,http://by4.nty.tv189.cn/live/tm-dxdnws-4000k.m3u8
东方卫视,http://by4.nty.tv189.cn/live/tm-xpdfws-4000k.m3u8
云南卫视,http://38.75.136.137:98/gslb/dsdqpub/ynwshd.m3u8?auth=testpub
兵团卫视,http://by4.nty.tv189.cn/live/tm-ysbtws-4000k.m3u8
内蒙古卫视,http://38.75.136.137:98/gslb/dsdqpub/nmgws.m3u8?auth=testpub
北京卫视,http://173.208.212.130:8181/720p/bjws.m3u8
厦门卫视,http://38.75.136.137:98/gslb/dsdqpub/xmws.m3u8?auth=testpub
吉林卫视,http://by4.nty.tv189.cn/live/tm-ysjlws-4000k.m3u8
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
大湾区卫视,http://38.75.136.137:98/gslb/dsdqpub/nfws.m3u8?auth=testpub
天津卫视,http://173.208.212.130:8181/720p/tjws.m3u8
宁夏卫视,http://by4.nty.tv189.cn/tm-ysnxws-4000k.m3u8
安徽卫视,http://173.208.212.130:8181/720p/ahws.m3u8
山东卫视,http://173.208.212.130:8181/720p/sdws.m3u8
山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
广东卫视,http://by4.nty.tv189.cn/live/tm-ysgdws-4000k.m3u8
