中国大陆频道（混合组提取）,#genre#
CCTV13,https://10.fast.hidns.vip/163189/cctv13/
广东珠江,https://2.fast.hidns.vip/163189/gdzj
广东体育,https://2.fast.hidns.vip/163189/gdty
海峡卫视,https://10.fast.hidns.vip/163189/hxws/
海峡卫视,https://168.sryze.cc/163189/hxws
广州综合,https://168.sryze.cc/163189/gzzh
广州新闻,https://168.sryze.cc/163189/gzxw
广州南国都市,https://cdn15.163189.xyz/163189/ngds
五星体育,https://cdn15.163189.xyz/163189/wxty
广东荔枝网,#genre#
广东珠江3,http://m.061899.xyz/mg/gdzj
广东新闻,http://m.061899.xyz/mg/gdxw
广东民生2,http://m.061899.xyz/mg/gdms
广东体育2,http://m.061899.xyz/mg/gdty
深圳都市,http://livepull-tcms.sztv.com.cn/live/dslive.m3u8
东莞新闻综合,https://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,https://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
中山综合,http://v.zsbtv.com.cn/lsdream/qTl38me/1000/live.m3u8
肇庆综合,http://zmylivestream.nfnews.com/zmy_slive/27872.m3u8
肇庆生活服务,http://zmylivestream.nfnews.com/zmy_slive/27871.m3u8
清远新闻综合,http://zmylivestream.nfnews.com/zmy_slive/25319.m3u8
清远文旅生活,http://zmylivestream.nfnews.com/zmy_slive/25321.m3u8
云浮综合,https://livestream.oeeee.com/slive/28283.m3u8
云浮文旅,https://livestream.oeeee.com/slive/28284.m3u8
阳江-1,https://live.yjtvw.com:8081/live/yjtv1.m3u8
阳江-2,https://live.yjtvw.com:8081/live/yjtv2.m3u8
湛江新闻综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8
湛江公共,http://gbtv-hls-wjq.zjwtv.com/zjtv/ggpd.m3u8
韶关综合,https://live.sgmsw.cn/hls/lhx1FUeZg/playlist.m3u8
韶关综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
河源综合1,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共1,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
汕头综合,http://129.211.14.102:25000/gdst.php?id=st1&token=www.9kds.com
汕头经济,http://129.211.14.102:25000/gdst.php?id=st2&token=www.9kds.com
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/zhpd.m3u8
揭阳生活,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
潮州综合1,http://livezhpd.czbtv.com:38880/live/ctvzhpd.m3u8?secret=czbtv20250301
潮州民生1,http://livezhpd.czbtv.com:38880/live/ggpd.m3u8?secret=czbtv20250301
番禺综合,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.flv
丰顺综合,https://p2.vzan.com/701678271/024926084736123670/live.m3u8
深圳龙岗,http://zhfw-t.szlg.com:8080/live/television1.m3u8
广东酒店,#genre#
广东珠江,http://8.138.7.223/tv/gdzj.m3u8
大湾区卫视,http://8.138.7.223/tv/dwq.m3u8
广东珠江频道,https://gx.484947.xyz/PLTV/77777777/224/3221225717/index.m3u8
广东大湾区卫视,http://gx.484947.xyz/PLTV/77777777/224/3221225748/index.m3u8
广东经济,https://jsv-live-play.sfccn.com/live/jsv_3920_fhd.m3u8
大湾区卫视,http://go.bkpcp.top/mg/dwqws
广东影视,http://go.bkpcp.top/mg/gdys
广东卫视,http://go.bkpcp.top/mg/gdws
广东珠江,http://go.bkpcp.top/mg/gdzj
广东体育,http://go.bkpcp.top/mg/gdty
广东民生,http://go.bkpcp.top/mg/gdms
广东新闻,http://go.bkpcp.top/mg/gdxw
广东民生(晚7点),http://tv1288.xyz/douyin.php?type=rid&rid=gdtvdvxc
广东珠江(晚6点),http://tv1288.xyz/douyin.php?type=rid&rid=gdtvzjpd
-汕尾综合,https://iswtv.swrtv.com/live/xwzhpd.m3u8
-汕尾生活,https://iswtv.swrtv.com/live/whshpd.m3u8
广州综合,https://tencentplay.gztv.com/live/zonghes.m3u8?txSecret=f0147ae6453a80f5989f382368b72aad&txTime=18d00acf487
广州新闻,https://tencentplay.gztv.com/live/xinwen.m3u8?txSecret=6f73647cae387d01a3c2132074132a83&txTime=18d00acf487
广州法治,https://tencentplay.gztv.com/live/fazhi.m3u8?txSecret=4400d75d2114b2db07d86eda8f8218ee&txTime=191b60ce0f6
广州南国都市,https://tencentplay.gztv.com/live/nanguodushi.m3u8?txSecret=babbcbacdbcf13a3311a264e4dd66b8d&txTime=191b60b41a7
深圳卫视,http://nn.7x9d.cn/深圳最新.php?id=szws4k
深圳都市,http://nn.7x9d.cn/深圳最新.php?id=szds
深圳电视剧,http://nn.7x9d.cn/深圳最新.php?id=szdsj
深圳财经生活,http://nn.7x9d.cn/深圳最新.php?id=szcjsh
深圳少儿,http://nn.7x9d.cn/深圳最新.php?id=szse
深圳移动电视,http://nn.7x9d.cn/深圳最新.php?id=szyd
深圳国际,http://nn.7x9d.cn/深圳最新.php?id=szgj
番禺电视台,http://video.epaper.pybtv.cn:8080/live/rtmp_live_demo.m3u8
东莞新闻综合,http://stream.sun0769.com/dgrtv1/mp4tv1_1500/index.m3u8
东莞生活资讯,http://stream.sun0769.com/dgrtv1/mp4tv2_1500/index.m3u8
河源综合,https://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,https://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
五华综合,http://p2hs.vzan.com/slowlive/621139761151691240/live.m3u8
韶关新闻综合,https://www.sgmsw.cn/videos/tv/201805/1308/SB05RIYZOU8JR418AUQOF62CAJQ08D0E/hls/live.m3u8
清远文旅生活,http://zmylivestream.nfnews.com/zmy_slive/20811.m3u8
揭阳综合,http://hls-jyrtv.jyrtv.tv/stjy2020/ggpd.m3u8
湛江综合,http://gbtv-hls-wjq.zjwtv.com/zjtv/zhpd.m3u8
阳江综合,https://live.yjtvw.com:8081/live/yjtv1.m3u8
阳江生活,https://live.yjtvw.com:8081/live/yjtv2.m3u8
肇庆生活,http://zmylivestream.nfnews.com/zmy_slive/27871.m3u8
怀集综合,https://www.zqhjtv.com/hls/hjzhpd.m3u8
揭阳IPTV,#genre#
揭阳综合高清,http://119.29.142.81:4022/udp/239.77.0.229:5146
揭阳生活高清,http://119.29.142.81:4022/udp/239.77.0.251:5146
汕尾综合高清,http://119.29.142.81:4022/udp/239.77.0.25:5146
汕尾生活高清,http://119.29.142.81:4022/udp/239.77.0.187:5146
汕头综合高清,http://119.29.142.81:4022/udp/239.253.43.45:5146
汕头生活高清,http://119.29.142.81:4022/udp/239.253.43.46:5146
潮州综合高清,http://119.29.142.81:4022/udp/239.253.43.70:5146
潮州民生高清,http://119.29.142.81:4022/udp/239.253.43.75:5146
广东卫视高清,http://119.29.142.81:4022/udp/239.77.0.84:5146
广东珠江高清,http://119.29.142.81:4022/udp/239.77.0.1:5146
广东新闻高清,http://119.29.142.81:4022/udp/239.77.0.173:5146
广东民生高清,http://119.29.142.81:4022/udp/239.77.0.225:5146
广东体育高清,http://119.29.142.81:4022/udp/239.77.0.112:5146
经济科教高清,http://119.29.142.81:4022/udp/239.77.0.85:5146
大湾区卫视高清,http://119.29.142.81:4022/udp/239.77.0.215:5146
广东影视高清,http://119.29.142.81:4022/udp/239.77.0.217:5146
广东少儿高清,http://119.29.142.81:4022/udp/239.77.0.250:5146
揭阳综合高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.229:5146
揭阳生活高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.251:5146
汕尾综合高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.25:5146
汕尾生活高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.187:5146
汕头综合高清,http://hongzhijiaoyu.net:8188/udp/239.253.43.45:5146
汕头生活高清,http://hongzhijiaoyu.net:8188/udp/239.253.43.46:5146
潮州综合高清,http://hongzhijiaoyu.net:8188/udp/239.253.43.70:5146
潮州民生高清,http://hongzhijiaoyu.net:8188/udp/239.253.43.75:5146
广东卫视高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.84:5146
广东珠江高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.1:5146
广东新闻高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.173:5146
广东民生高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.225:5146
广东体育高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.112:5146
经济科教高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.85:5146
大湾区卫视高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.215:5146
广东影视高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.217:5146
广东少儿高清,http://hongzhijiaoyu.net:8188/udp/239.77.0.250:5146
揭阳综合高清,http://lsa.familyds.com:8188/udp/239.77.0.229:5146
揭阳生活高清,http://lsa.familyds.com:8188/udp/239.77.0.251:5146
汕尾综合高清,http://lsa.familyds.com:8188/udp/239.77.0.25:5146
汕尾生活高清,http://lsa.familyds.com:8188/udp/239.77.0.187:5146
汕头综合高清,http://lsa.familyds.com:8188/udp/239.253.43.45:5146
汕头生活高清,http://lsa.familyds.com:8188/udp/239.253.43.46:5146
潮州综合高清,http://lsa.familyds.com:8188/udp/239.253.43.70:5146
